Group,Similar Phrases
Что получают наши менеджеры по продажам:,Что получают наши менеджеры по продажам:
About TAC:,About TAC:
Группа компаний SKILLZANIA это:,Группа компаний SKILLZANIA это:
Основное направление команды,Основное направление команды
"Здорово, если у тебя есть:","Здорово, если у тебя есть:"
С какими задачами предстоит работать:,С какими задачами предстоит работать:
Расширенное ДМС после испытательного срока,Расширенное ДМС после испытательного срока
Квалификация и требуемые характеристики:,Квалификация и требуемые характеристики:
Что нужно иметь кандидату:,"Что нужно иметь кандидату:, Что желательно иметь кандидату?, Что желательно иметь кандидату:"
What professional are we looking for?,"What professional are we looking for?, What kind of professional are we looking for?"
Решайте интересные задачи:,Решайте интересные задачи:
"Основной стек используемых технологий и инструментов, навыки использования которых понадобятся в работе:","Основной стек используемых технологий и инструментов, навыки использования которых понадобятся в работе:"
Какие задачи предстоит решать:,"Какие задачи предстоит решать:, КАКИЕ ЗАДАЧИ ПРЕДСТОИТ РЕШАТЬ:, Какие задачи предлагаем решать?, Задачи, которые предстоит решать:, ЗАДАЧИ, КОТОРЫЕ ПРЕДСТОИТ РЕШАТЬ:, Какие задачи предстоит решать"
Стек проектов,Стек проектов
ПРИВЕТ!,"ПРИВЕТ!, Привет), Привет!"
Если ты узнал(а) себя — не теряй время!,Если ты узнал(а) себя — не теряй время!
Career Growth:,Career Growth:
Вы идеальный кандидат если:,"Вы идеальный кандидат если:, Ты наш идеальный кандидат, если:, Идеальный кандидат:, Вы — наш идеальный кандидат, если:, Вы наш идеальный кандидат, если у вас есть:"
Опыт автоматизации рутинных процессов,Опыт автоматизации рутинных процессов
Вы должны обладать следующими навыками,Вы должны обладать следующими навыками
Ищем в команду SMM-менеджера,Ищем в команду SMM-менеджера
Возможность реализовать свои,Возможность реализовать свои
ЧТО НЕ НУЖНО ДЕЛАТЬ:,"ЧТО НЕ НУЖНО ДЕЛАТЬ:, Что нужно будет делать:, Что нужно делать :, Что нужно будет делать, Что нужно делать:, ЧТО НУЖНО ДЕЛАТЬ?, А что нужно будет делать?"
Поддержка и обучение:,"Поддержка и обучение:, крутая команда, поддержка и обучение"
Возможность развития в сторону системного аналитика,Возможность развития в сторону системного аналитика
Что ожидать во время стажировки:,Что ожидать во время стажировки:
Уютный офис,Уютный офис
«Холдинг «Газпром-медиа»,«Холдинг «Газпром-медиа»
"Готовы к вызову? Отправляйте резюме и покажите нам, как вы сможете поднять продажи BOSS и HUGO на новый уровень!","Готовы к вызову? Отправляйте резюме и покажите нам, как вы сможете поднять продажи BOSS и HUGO на новый уровень!"
Заказчики ЦВД,Заказчики ЦВД
Кто мы:,"Кто мы:, Кто мы? ‍, Кто мы, Кто вы?, Кто мы?, Кто я?"
Работая в ROWI ты получаешь:,Работая в ROWI ты получаешь:
Задача:,Задача:
"Если ты горишь сферой проект-менеджмента и тебе безумно нравится развиваться в этом направлении, пиши в сопроводительном письме «хочу работать в involta» и пару строк о себе. Мы ответим на твой запрос в течение нескольких дней!","Если ты горишь сферой проект-менеджмента и тебе безумно нравится развиваться в этом направлении, пиши в сопроводительном письме «хочу работать в involta» и пару строк о себе. Мы ответим на твой запрос в течение нескольких дней!"
Инновационные технологии:,Инновационные технологии:
Нам важно:,"Нам важно:, ВАЖНО!"
GreenGo,GreenGo
"Задачи, которые будут в твоих руках:","Задачи, которые будут в твоих руках:"
Вам предстоит делать следующее:,Вам предстоит делать следующее:
Системное администрирование 1С-продуктов,Системное администрирование 1С-продуктов
Requirements,"Requirements, Requirements:"
Тебе,"Тебе, Тебе предстоит, Тебе предстоит:, ТЕБЕ ПРЕДСТОИТ:, о тебе:, о тебе"
"Что нужно знать, чтобы мы начали твое обучение:","Что нужно знать, чтобы мы начали твое обучение:"
Официальное трудоустройство,Официальное трудоустройство
deeplay,deeplay
Задачи для нашего кандидата:,"Задачи для нашего кандидата:, У нашего кандидата есть:"
Тетрон,Тетрон
1. Разработка экранов мобильных приложений (бОльшая часть времени)<br />UI:,1. Разработка экранов мобильных приложений (бОльшая часть времени)<br />UI:
Ваши будущие задачи на данной роли:,Ваши будущие задачи на данной роли:
Для их реализации тебе потребуется:,Для их реализации тебе потребуется:
"В связи с масштабированием, мы приглашаем в команду инициативного и проактивного Коммерческого директора (Head of Revenue).","В связи с масштабированием, мы приглашаем в команду инициативного и проактивного Коммерческого директора (Head of Revenue)."
Мы гарантируем:,"Мы гарантируем:, Что мы предлагаем и гарантируем:, <strong>Что мы гарантируем:"
Несколько фундаментов нашей компании и команды:,Несколько фундаментов нашей компании и команды:
Взамен мы готовы предоставить:,Взамен мы готовы предоставить:
Условия работы в Health&amp;Nutrition:,"Условия работы в Health&amp;Nutrition:, В Health&amp;Nutrition тебя ждут:, Health&amp;Nutrition"
МЫ ПОДДЕРЖИМ ТЕБЯ И ОБЕСПЕЧИМ:,"МЫ ПОДДЕРЖИМ ТЕБЯ И ОБЕСПЕЧИМ:, Мы поддержим тебя и обеспечим:"
Что мы хотим видеть:,"Что мы хотим видеть:, ЧТО МЫ ХОТИМ ВИДЕТЬ:, Что хотим в вас видеть:, Что хотим видеть в тебе:"
Регулярные внутренние обучения,Регулярные внутренние обучения
РАБОТУТ,РАБОТУТ
"Компания &quot;Кетекс&quot; успешно работает на рынке автозапчастей с 2016 года и продолжает активно развиваться. Специализируемся на закупке и продаже комплектующих для европейских, корейских, китайских и японских автомобилей (Audi, BMW, KIA, Volvo и другие). Наша команда из 30+ специалистов готова делиться опытом и помогать развиваться.","Компания &quot;Кетекс&quot; успешно работает на рынке автозапчастей с 2016 года и продолжает активно развиваться. Специализируемся на закупке и продаже комплектующих для европейских, корейских, китайских и японских автомобилей (Audi, BMW, KIA, Volvo и другие). Наша команда из 30+ специалистов готова делиться опытом и помогать развиваться."
Offer/Наше предложение:,"Offer/Наше предложение:, Наше предложение:"
Пожелания к твоему опыту:,"Пожелания к твоему опыту:, Пожелания к опыту, Пожелания к твоему опыту, Пожелания к опыту:"
…you have all the chances to get the perfect match with your dream job vacancy!,…you have all the chances to get the perfect match with your dream job vacancy!
РЕТЕРРА –,РЕТЕРРА –
"Присоединяйтесь к команде, которая делает жизнь людей более здоровой и вкусной!","Присоединяйтесь к команде, которая делает жизнь людей более здоровой и вкусной!"
Мы ищем продуктового аналитика в команду ассортимента ВкусВилл.,Мы ищем продуктового аналитика в команду ассортимента ВкусВилл.
Вас ожидают,"Вас ожидают, Вас ожидают следующие задачи:, Задачи, которые вас ожидают:"
Ваша роль:,"Ваша роль:, Роль:"
Работа в стабильной государственной организации.,Работа в стабильной государственной организации.
Чем предстоит заниматься на первом этапе работы:,Чем предстоит заниматься на первом этапе работы:
<em>В ВАШИ ОБЯЗАННОСТИ БУДЕТ ВХОДИТЬ:</em>,"<em>В ВАШИ ОБЯЗАННОСТИ БУДЕТ ВХОДИТЬ:</em>, В Ваши обязанности будет входить:"
Преимущества работы для вас:,Преимущества работы для вас:
Наши ценности:,Наши ценности:
Что будет входить в задачи,"Что будет входить в задачи, В ваши задачи будет входить:, Что будет входить в обязанности:"
о задачах,о задачах
Что мы хотим увидеть:,"Что мы хотим увидеть:, Мы хотим увидеть:, Очень хотим увидеть:, Что мы хотим увидеть у Вас:"
Необходимые умения:,Необходимые умения:
Приглашаем в команду: консультанта-методолога 1С Дирекции ИТ головной компании ГК Остек.,Приглашаем в команду: консультанта-методолога 1С Дирекции ИТ головной компании ГК Остек.
Желательные профессиональные навыки:,"Желательные профессиональные навыки:, Профессиональные навыки:"
What We’re Looking For:,"What We’re Looking For:, What we’re looking for:, We&#39;re looking for"
Мы занимаемся:,"Мы занимаемся:, Чем мы занимаемся?, Чем мы занимаемся"
<em>И еще</em>,<em>И еще</em>
"Что Вы получите, работая у нас:","Что Вы получите, работая у нас:, Что вы получите:, Вы получите работая с нами:, А что вы получите?"
"Admon — аккредитованная IT-компания — это значит, что работа у нас даст вам отсрочку от частичной мобилизации (при условии, что ваше образование соответствует перечню Минобрнауки).","Admon — аккредитованная IT-компания — это значит, что работа у нас даст вам отсрочку от частичной мобилизации (при условии, что ваше образование соответствует перечню Минобрнауки)."
KnowHow –,KnowHow –
Желаем удачи!,Желаем удачи!
Для успешной работы необходимо:,"Для успешной работы необходимо:, Для успешной работы с нами необходимо:"
ROWI tech,ROWI tech
"Вы нам подходите, если:","Вы нам подходите, если:, Вы нам подходите, если вы:, <em>Вы нам подходите если:</em>, Вы нам подходите если у Вас есть:, Вы нам подходите если:, Вы подходите, если:, Вы нам подходите, если есть:, Вы нам точно подходите, если:, Вы нам очень подходите если:"
Что предстоит делать:,"Что предстоит делать:, Что предстоит делать, Что тебе предстоит делать?, Что делать:, Что предстоит, Что тебе предстоит делать:, Что предстоит:, Что делать, Что предстоит делать?"
"Stool Group — интернет-магазин мебели, российский производитель, импортер и оптовый поставщик мебели. В нашем ассортименте – стулья, столы и другая мебель для ресторанов, кафе, баров, квартир и загородных домов.","Stool Group — интернет-магазин мебели, российский производитель, импортер и оптовый поставщик мебели. В нашем ассортименте – стулья, столы и другая мебель для ресторанов, кафе, баров, квартир и загородных домов."
Чему ты научишься у нас:,Чему ты научишься у нас:
Вам предстоит заниматься:,"Вам предстоит заниматься:, Чем вам предстоит заниматься:, вам предстоит:, Вам предстоит:, ВАМ ПРЕДСТОИТ:"
✅ Организация и контроль процессов:,✅ Организация и контроль процессов:
P.S.: Мы ценим ваше время и гарантируем обратную связь в течение 24 часов после отклика на вакансию.,P.S.: Мы ценим ваше время и гарантируем обратную связь в течение 24 часов после отклика на вакансию.
"Пиши, будем рады пообщаться детальней ;)","Пиши, будем рады пообщаться детальней ;)"
Чем нужно будет заниматься:,"Чем нужно будет заниматься:, Чем нужно заниматься:"
PROMMINER – крупнейший дистрибьютор оборудования для майнинга в России и странах СНГ.,PROMMINER – крупнейший дистрибьютор оборудования для майнинга в России и странах СНГ.
ПОЖЕЛАНИЯ К КАНДИДАТУ:,"ПОЖЕЛАНИЯ К КАНДИДАТУ:, Наши пожелания к кандидату:, Наш пожелания к кандидату:, Пожелания к кандидату:"
Наш кандидат:,"Наш кандидат:, <u>Наш идеальный кандидат: </u>, Наш идеальный кандидат:, <u>Наш идеальный кандидат:</u>, Кандидат"
Кто наши клиенты?,"Кто наши клиенты?, Наши клиенты:, Наши клиенты"
Personal Qualities,Personal Qualities
"Привет, мы Планета Творчества — один из лидеров на рынке маркетплейсов по продаже канцелярии и товаров для творчества.","Привет, мы Планета Творчества — один из лидеров на рынке маркетплейсов по продаже канцелярии и товаров для творчества."
Icancook,Icancook
Вместе с нами ты будешь заниматься:,"Вместе с нами ты будешь заниматься:, Вместе с нами ты будешь:, С нами ты будешь"
"<em>Хорошо, если у Вас есть:</em>","<em>Хорошо, если у Вас есть:</em>"
Место работы:,Место работы:
"Самоорганизованность,","Самоорганизованность,"
Компания «Центр цифровых электоральных технологий» стремительно и уверено развивается в сфере digital.,Компания «Центр цифровых электоральных технологий» стремительно и уверено развивается в сфере digital.
2.,2.
Что мы ожидаем:,"Что мы ожидаем:, мы ожидаем:, МЫ ОЖИДАЕМ, ЧТО У ВАС:, Что мы ожидаем от кандидата:, Мы ожидаем:, Мы ожидаем что ты:"
CASADELE – онлайн-школа испанского языка,CASADELE – онлайн-школа испанского языка
Внедрить автоматизацию процессов:,Внедрить автоматизацию процессов:
БУДЕТ ЗДОРОВО ЕСЛИ ТЫ ЕЩЁ:,"БУДЕТ ЗДОРОВО ЕСЛИ ТЫ ЕЩЁ:, Будет здорово, если:, БУДЕТ ЗДОРОВО, ЕСЛИ:"
Кратко:,Кратко:
Участие в профессиональных конференциях,Участие в профессиональных конференциях
Дополнительными плюсами будут,"Дополнительными плюсами будут, Дополнительными плюсами будут:"
Тебе предстоит решать следующие задачи:,"Тебе предстоит решать следующие задачи:, Задачи, которые тебе предстоит решать:"
Необходимо будет выполнить практическое задание.,Необходимо будет выполнить практическое задание.
"Мы бы хотели видеть человека, который:","Мы бы хотели видеть человека, который:, Мы бы хотели видеть у кандидата:"
Что у нас есть для тебя?,"Что у нас есть для тебя?, ЧТО У НАС ЕСТЬ:, Что у нас есть:, Что у нас есть?"
"Компания НОРБИТ (входит в ГК ЛАНИТ), является аккредитованной ИТ-компанией, специализируется на разработке и внедрении эффективных решений для автоматизации бизнеса и государственного управления. В штате компании работает около 1500 специалистов, офисы представлены в 11 городах России и СНГ. За 23 года работы НОРБИТ успешно завершил более 1000 проектов для компаний из государственного и коммерческого секторов. Среди заказчиков НОРБИТ – крупные компании из России, Армении, Узбекистана, Монголии и других стран.","Компания НОРБИТ (входит в ГК ЛАНИТ), является аккредитованной ИТ-компанией, специализируется на разработке и внедрении эффективных решений для автоматизации бизнеса и государственного управления. В штате компании работает около 1500 специалистов, офисы представлены в 11 городах России и СНГ. За 23 года работы НОРБИТ успешно завершил более 1000 проектов для компаний из государственного и коммерческого секторов. Среди заказчиков НОРБИТ – крупные компании из России, Армении, Узбекистана, Монголии и других стран."
- Проектный менеджмент,- Проектный менеджмент
"Отправьте нам ваше резюме с описанием опыта автоматизации и аналитики. В сопроводительном письме расскажите о самом интересном проекте по построению аналитических дашбордов, который вы реализовали.","Отправьте нам ваше резюме с описанием опыта автоматизации и аналитики. В сопроводительном письме расскажите о самом интересном проекте по построению аналитических дашбордов, который вы реализовали."
Какие предстоят задачи:,"Какие предстоят задачи:, Задачи, которые предстоят:"
Наш главный принцип: взаимовыгодное сотрудничество – совместное процветание!,Наш главный принцип: взаимовыгодное сотрудничество – совместное процветание!
"СОВСЕМ КРУТО, ЕСЛИ:","СОВСЕМ КРУТО, ЕСЛИ:"
Наш Департамент подразделяется на:,Наш Департамент подразделяется на:
Технологии,"Технологии, Наши технологии"
СИНХРО,СИНХРО
Что входит в основные задачи:,"Что входит в основные задачи:, ОСНОВНЫЕ ЗАДАЧИ:, Основные задачи :, Основные задачи:, Основные задачи"
Для этого тебе понадобится:,Для этого тебе понадобится:
Сегодня «Самолет Плюс» - это компания федерального масштаба одного из девелоперов России - ГК Самолет.,Сегодня «Самолет Плюс» - это компания федерального масштаба одного из девелоперов России - ГК Самолет.
"Что нужно, чтобы быть с нами:","Что нужно, чтобы быть с нами:, Что нужно, чтобы работать с нами:"
<em>Плюшки</em>,<em>Плюшки</em>
Стек технологий в работе:,"Стек технологий в работе:, Стек технологий:"
Мы рады тебе предложить:,Мы рады тебе предложить:
Работа с подрядчиками,Работа с подрядчиками
Our Client:,Our Client:
Key Facts About Us:,Key Facts About Us:
Ждем Ваше резюме!,"Ждем Ваше резюме!, Ждем ваше резюме!"
"Представительства в России, Белоруссии и Казахстане","Представительства в России, Белоруссии и Казахстане"
Желательно:,"Желательно:, Очень желательно:, ЖЕЛАТЕЛЬНО:"
Follow-Up Rate,Follow-Up Rate
"Мы ищем сотрудника, у которого есть:","Мы ищем сотрудника, у которого есть:"
Компания IGA Technologies,Компания IGA Technologies
Знания:,"Знания:, Знания и навыки:"
"Мы будем рады видеть в своей команде амбициозного финансового аналитика, которому сможем доверить финансовый сектор компании, непрерывно и стремительно расти и развиваться вместе.","Мы будем рады видеть в своей команде амбициозного финансового аналитика, которому сможем доверить финансовый сектор компании, непрерывно и стремительно расти и развиваться вместе."
Что мы ищем и ценим?,"Что мы ищем и ценим?, Мы ценим:, Что мы ищем:, Что мы ценим, Что мы ценим и ищем?"
Что ждем от вас:,"Что ждем от вас:, Что мы ждем от тебя:, От Вас :, От Вас:, Что мы ждем от Вас:, Мы ждем от вас:"
О твоей роли,О твоей роли
Что нам необходимо:,Что нам необходимо:
Стек:,"Стек:, Наш стек:, Стек"
Готовы вместе покорять рынок? Откликайся сейчас!,Готовы вместе покорять рынок? Откликайся сейчас!
Успехов и до встречи на собеседовании!,Успехов и до встречи на собеседовании!
Что такое СУБД Greenlum?,Что такое СУБД Greenlum?
4. VPN и RDP:,4. VPN и RDP:
Место работы: территория аэропорта Домодедово,Место работы: территория аэропорта Домодедово
АО &quot;Центральная ППК&quot;,АО &quot;Центральная ППК&quot;
Компания «Альтасеилс» приглашает на вакансию эксперта-практика с опытом работы от 3 лет руководителем отдела маркетинга в любой отрасли.,"Компания «Альтасеилс» приглашает на вакансию эксперта-практика с опытом работы от 3 лет руководителем отдела маркетинга в любой отрасли., Компания «Альтасеилс» приглашает на вакансию эксперта-практика с опытом работы от 3 лет директором по маркетингу в любой отрасли."
"Тебе будет с нами интересно, если у тебя:","Тебе будет с нами интересно, если у тебя:, Тебе у нас будет интересно, если:"
У НАС:,"У НАС:, О НАС:, О нас:, От нас:, О нас"
Кого мы ищем :,"Кого мы ищем :, ‍Кого мы ищем?, Кого мы ищем, КОГО МЫ ИЩЕМ, Кого мы ищем:, Кого ищем, Кого ищем:, Кого ищем в команду:"
Команда финансов,Команда финансов
"Что ты получишь, выбрав нас:","Что ты получишь, выбрав нас:"
"<em>Мы международная компания OEMEN, производитель качественной спортивной одежды, нижнего белья и чулочно-носочных изделий.</em>","<em>Мы международная компания OEMEN, производитель качественной спортивной одежды, нижнего белья и чулочно-носочных изделий.</em>"
Оплата:,Оплата:
Человеческое отношение,Человеческое отношение
"Hi, Rockits!–","Hi, Rockits!–"
✅ Поддержка запуска нового направления:,✅ Поддержка запуска нового направления:
Чем необходимо заниматься:,Чем необходимо заниматься:
* Стабильность,"* Стабильность, стабильность"
Учись с MGCom: за 2 месяца ты можешь вырасти до Junior Project Manager в digital маркетинге и получить работу в лучшем рекламном агентстве по мнению Adindex Award 2023.,Учись с MGCom: за 2 месяца ты можешь вырасти до Junior Project Manager в digital маркетинге и получить работу в лучшем рекламном агентстве по мнению Adindex Award 2023.
"Если ты - самостоятельный, включенный, системный и внимательный, если умеешь глубоко погружаться в детали, обладаешь аналитическим складом ума, аналитика и командная работа увлекают тебя, то скорее откликайся на нашу вакансию!","Если ты - самостоятельный, включенный, системный и внимательный, если умеешь глубоко погружаться в детали, обладаешь аналитическим складом ума, аналитика и командная работа увлекают тебя, то скорее откликайся на нашу вакансию!, Если ты: самостоятельный, включенный, системный и внимательный, если умеешь глубоко погружаться в детали, обладаешь аналитическим складом ума, аналитика и командная работа увлекают тебя, то скорее откликайся на нашу вакансию!"
Внимание! Вакансия открыта до 25 декабря включительно!,"Внимание! Вакансия открыта до 25 декабря включительно!, Внимание! Вакансия открыта до 27 декабря включительно!"
